"Emisión: 10/09/12 12:05:02
Los mas Vendidos $
Año : '2012' , Mes : 'AGO' , Cantidad  : '5000' , Local : 'SUPER EL MERCADITO,SUPER EL MERCADITO (CAPACITACI'"
"TIA MARUCA COCO X 250 G",31.25,5,8.25,3057
"WOOLITE MIXCOLOR X 450 ML",31.22343,4,6.74343,3058
"TORTITAS CHOCOLATE  X 125 G",31.2,8,7.12,3059
"GRANJA DEL SOL MEDA DE POLLO C/QUE X 400",31.19,1,8.97,3060
"JUGO P.TANG LIMONADA 25G.",31.14,19,9.18,3061
"GLADE DEO.AMB. S&S REP FRESCO",31.01,1,10.34,3062
"LA VIRGINIA TE ROSA MOS Y MANZ X 25 SAQ",31,4,9.36,3063
"VIM LAV GEL FLORAL 750ML",30.88,2,9.58,3064
"ALGABO GEL 4 FIJACION EXT.FUERTE X 150 G",30.80931,4,19.04931,3065
"VILLA RICA MANZANILLA X 25 SAQ",30.7924,7,11.6824,3066
"CUTEX ROJO X 60",30.79,5,11.29,3067
"LA CAMPAGNOLA CABALLA EN SALSA X 300 G",30.78,2,4.2,3068
"ORAL B CRE.DENT.LIM.PROF.100G",30.78,2,7.1,3068
"ZUKO JUGO UVAS BLANCAS",30.74899,41,13.52899,3070
"MR MUSCULO CREMA CITRUS X 450",30.63001,3.99999,10.63002,3071
"BC LA CAMPAGNOLA PERAS X 450 G",30.58,2,3.14,3072
"BON O BON OBLEAS  CHOC.6U",30.36,2,8.66,3073
"BABELITO RED.SIL. LUMINOSO",30.3,1,9.65,3074
"VERITAS DEO FAM SUAVE X 400 CC",30.28,2,10.96,3075
"ACOND.CAPILATIS EXT.VEGET.410",30.2,1,14.42,3076
"COBRA GAMUZA & NOBUCK 60 ML",30.14,2,7.93,3077
"ADLER JAMON X 100 G",30.11,3,9.5,3078
"SIERRA PINTADA COPOS AZUC X 200G",30.09,6,6.15,3079
"TE TARAGUI HERBAL MIX 10S",30.02093,12,8.30093,3080
"BOLS LICOR CHOC X 200",30,6,2.4,3081
"POMADA COBRA INCOLORA X 45 ML",30,5,17.65,3081
"RANDOM CEP/DENT. L-171",30,6,30,3081
"UPA LA LA ! ESTUCHE COLONIA JABON OSO 02",29.99,1,12.26,3084
"ALGABO ENJUAGUE BUCAL ARTIC MENT X 500 M",29.98,2,17.22,3085
"DON YEYO TORTELLETIS CARNE Y JAMON X 500",29.98,2,8.56,3085
"ELVIVE TRAT VOL CONT X 350",29.98,1,9.72,3085
"COLGATE CEP 360 + CREMA T12 X 90G",29.96,1,12.66,3088
"CRECER 1 A 3 LECHE 1L",29.96,2,6.37,3088
"GRANIX BOCADITOS DE CEREALES MANI X 180",29.96,3,8.27,3088
"TENTACIONES FRUTILLA/FRESA X 85 G",29.95,5,7.85,3091
"CELUSAL LIGHT X 250G",29.94,2,10.58,3092
"DETER.CIF ACTIVE GEL P.R.300ML",29.94,3,9.27,3092
"VILLA RICA TILO X 25 UNDS",29.94,3,10.88,3092
"DAYS KOTEX NORMAL 8 U",29.94,6,9.84,3092
"CBSE YERBA MATE LIMON X 500 G",29.92,2,8.14,3096
"DAYS VASO SORBETE DADO DOKY",29.9,1,12.1,3097
"JOVIFEL FRALLADOR 6 CARAS ACER",29.9,1,12.89,3097
"SORBETE SUPER KIDS",29.9,1,12.1,3097
"KNORR SOPA CREMA DE CHOCLO LIGHT X 40.5",29.78,5,8.88,3100
"GLADE TOQUE I LOVE YOU REP X UNI",29.77,3,10.81,3101
"GLADE TOQUE REP BEBE",29.77,3,10.81,3101
"GLADE SENSAT. CAR MAÑANA DE CA",29.75,1,9.92,3103
"GLADE SENSAT. CAR NECTAR DE FL",29.75,1,9.92,3103
"DULCOR ZAPALLO X 500 G",29.73419,6,8.90418,3105
"COFLER BLANCO Y LECHE X 60 G",29.70461,4,10.70461,3106
"BARCELONA DEO MESSI 168 ML",29.7,3,10.38,3107
"DON RICARDO ACEITUNAS DESCAROZADAS X 1K",29.7,1,9.9,3107
"MICHEL TORINO BORG X 750 CC",29.7,3,15.99,3107
"JOVIFEL TARTERA GRANEADA 24",29.64,2,15.58,3110
"NIVEA DESOD AQUA COOL X 150 ML",29.62,2,9.88,3111
"POETT CANASTA X 32 G",29.6,5,8.45,3112
"ALICANTE SALSA 4 QUESO X 37 G",29.55,5,9.85,3113
"UPA LA LA ! ESTUCHE NANA 18 UPA",29.53,1,14.59,3114
"JOVIFEL ALFOMBRA PEZ",29.45,1,13.09,3115
"MISTER MUSCULO VIDRIOS Y MULTIUSO X 500",29.41,6,10.27,3116
"MANZANILLA TARAGUI X 25 SAQ",29.4,6,8.7,3117
"GRANIX BIZCOCHOS GIRASOL X 180 G",29.39999,6,7.56,3118
"LA CAMPAGNOLA MERM FRAMBUESA X 454 G",29.38,2,8.34,3119
"AYUDIN FLORAL DET X 300",29.34002,3,9.03,3120
"KNORR FIDEO MOÐO X 500 G",29.34,4,8,3121
"COQUITAS X 170 G",29.3,5,8.1,3122
"LA MONTEVIDIAN SAMBAYON 500 ML",29.26663,1,11.32663,3123
"FLAN VILLA RICA X 120 G",29.2364,7,11.0564,3124
"KNORR CALDOS P/ SABORIZAR GALLINA X 4",29.23,6,9.67,3125
"THOLEM SALAME DE MILAN X 190 G",29.22,3,5.85,3126
"MAROLIO CAFE INSTANTANEO X 50 G",29.2,2.99999,11.05001,3127
"COCOA ZUCOA FRUTILLA 180G.",29.19303,7,8.05303,3128
"GODET GELATINA LIGHT ARCOR FRUTAS ROJAS",29.18,7,9.51,3129
"VANOLI SALSA INGLESA X 180 CM3",29.16,3,10.17,3130
"BAGGIO MANZ.1.5 L",29.07,3,8.31,3131
"DOS ANCLAS AZUCAR NEGRA 250G.",29.07,3,9.69,3131
"ARO CREMOSO K",29.0417,0.83,10.1509,3133
"FIDEO RIVOLI DEDALES X 500G",29.04,8,8.56,3134
"LUX JABON DEGUSTAME 125G.",29.0374,6,10.0774,3135
"BABELITO CHUPETE SIMET T 1",29,1,12.34,3136
"JOVIFEL SET DE BAÑO CARTERITA",29,1,12.91,3136
"VINO LOS HAROLDOS MER.1.25L",29,1,9.69,3136
"CRIOLLITAS TOSTADAS CLAS. 200G",28.99,5,9.39,3139
"PERDRIEL MALBEC X 750",28.99,1,6.69,3139
"COLMENARES MATA MIEL  X 260 G",28.98,3,8.88,3141
"KINDER BUENO X 43 G",28.98,4,10.14,3141
"EQUALSWEET SOBRES X 100",28.98,2,9.62,3141
"ALICANTE NOEZ MOSCADA MOLIDA X 25 G",28.92,3,11.91,3144
"MOGUL GELATINA BANANA X 60 G",28.88532,10,8.28532,3145
"EL POCILLO MALTA X 110G",28.77,3,9.57,3146
"KESITAS X 125 G",28.76,4,7.44,3147
"SUCARYL EDULCORANTE X 50 X 8 G",28.76,4,8.92,3147
"ALA MATIC MULT C/VIVERE PERF. V X 400 NU",28.73,5,7.98,3149
"POSTALES DEL FIN DEL MUNDO MERLOT X 750",28.73,1,1.99,3149
"MAROLIO PREMESCLA PIZZA X 500G",28.73,5,8.78,3149
"CACHAMAI ROSA X 20 SAQ",28.73,5,8.18,3149
"NIVEA DEO FRESH NAT X 150 ML",28.68,2,9.56,3153
"SNACKS SALADIX CALABRESA 30G",28.62,12,9.54,3154
"SERENITO COMBINADO VAINILLA Y CHO",28.6,6,8.56,3155
"LIMP.LAYUDIN REP.COCINA 500ML",28.59,4,8.51,3156
"FORMIS BLACK X 108 G",28.55,7,9.51,3157
"MAROLIO AMARGO SERRANO X 1500 CC",28.53093,5,7.38093,3158
"GRANIX CHOCOFLAKES X 240 G",28.52375,4,8.56375,3159
"VANOLI CHIMICHURRI 950",28.5,2,8.84,3160
"VIRULANA CEPILLO PISOS",28.5,2,5.5,3160
"ARCOR ARVEJAS SECAS REMOJADAS X 350 G",28.49,7,8.47,3162
"DISPITA CREMA 60 G",28.49,1,11.85,3162
"TORRELAGUNA PICKLES MIXTOS",28.48,1,6.7,3164
"MERME.BC NAR-DU.390G",28.46,2,9.42,3165
"WOOLITE ROPA FINA X 450 ML",28.44,2,10.66,3166
"KEKSY HELADO CHOCOLATE X 100 G",28.4044,8,8.4844,3167
"YERBA NOBLEZA GAUCHA LIM.500G",28.38,2,7.58,3168
"EXTRALIMP SECADOR DE GOMA N? 40",28.35765,3,11.67765,3169
"TIC TAC MENTA X 16 G",28.31,11,10.16,3170
"CRIOLLITAS ORIGINAL X 100 G",28.29,10,7.59,3171
"CHANGUITO PAN DE CARNE X 340G",28.23,3,7.95,3172
"HERBAL ESSENCES SH ENCIENDETE X 355",28.19,2,9.83,3173
"VINO LOS HAROLDOS SHIRAZ 1.25",28.19,1,3.87,3173
"VINO LOS HAROLDOS TEMP.1.25L",28.19,1,3.87,3173
"ARO JABON BLANCO X 200G",28.14,8,11.02,3176
"GRANIX COPOS DE MAIZ CON MIEL X 500 G",28.07,2,9.37,3177
"BABELITO CHUPETE C/ BORDE DE GOMA TALLE",28,1,9.91,3178
"JOVIFEL TARTERA ALUM.DESM 24",28,1,12.32,3178
"REXONA BAMBOO X 175 CM",27.99142,2,8.99142,3180
"DOVE TRAT CONTROL CAIDA X 350",27.99,1,9.5,3181
"JOVIFEL INDIVIDUAL PVC MARRON",27.98,2,12.44,3182
"WOOLITE ROPAS NEGRAS X 450 ML",27.98,2,9.18,3182
"LA CAMPAGNOLA KETCHUP HOT X 400G",27.96,2,8.06,3184
"GLADE TOQUE COCINA FULL",27.93,2,9.36,3185
"MENOYO VINAGRE ALCOHOL 5LT",27.92,1,9.78,3186
"PANTENE CR TRA LISO EXT X 300",27.9,1,8.12,3187
"GODET POSTRE VAINILLA X 140 G",27.87,9,8.07,3188
"FORMIS CHOCOLATE X 108 G",27.85,7,8.81,3189
"DULCOR MERME. MANZ.FC 454G.",27.83011,4,8.35011,3190
"LOEKEMEYER TIRABUZON METAL",27.81,1,10.99,3191
"TORTITAS ARCOR FRUTOS DEL BOSQUE X 140 G",27.80332,7,7.85332,3192
"CERAMICOL ROJO X 900 CC",27.8,2,8,3193
"VANOLI ACEITUNAS X 800 G",27.8,2,8.68,3193
"BABELITO CHUPETE SIL. ANAT.COLOR TALLE 2",27.74,1,11.08,3195
"TE TARAGUI TILO 10S",27.74,6,8.18,3195
"JOVIFEL RELOJ DESP GRIS/AZ",27.7,1,13.85,3197
"AIR WICK DESOD. AMBIENTE SENS VAI X  346",27.61,4,8.33,3198
"GRANIX GALLETA LINO X 185 G",27.57,6,8.16,3199
"POETT DESOD ANTITABACO X 360 ML",27.57,3,6.7,3199
"RUMBA CHOCOLATOSA 112G",27.54,6,6.9,3201
"RANDOM CEP.DENT. KIDS 2/4",27.51,3,11.13,3202
"ODEX CITRUS X 400 G",27.39,7,8.47,3203
"BABELITO MORDILLO ANILLO",27.18,1,9.07,3204
"AZUCARADAS COCO X 80 G",27.14,14,8.52,3205
"BABELITO PRENDEDOR C/CINTA",27.06,1,11.75,3206
"ENERGIZER AAA X 4 UNID",27,1,9.32,3207
"VILLA DEL SUR LEVITE POMELO X 500",27,6,7.74,3207
"ALGABO LOCION CORP. MILK HUMECTANTE 400",26.98,2,12.04,3209
"HERBAL ESSENCES AC ENCIEND X 355",26.98,2,8.62,3209
"JABON T.LUX TONO LUM.125G.3U",26.98,2,10.3,3209
"JABON T.LUX ENCANTAME 125G.",26.98,2,10.3,3209
"COCA COLA X 2000 CC LIGHT",26.98,2,6.14,3209
"TERRABUSI FIDEOS MOSTACH. RAY. MED. X 50",26.94,3,7.05,3214
"GENSER SAL MOD X 90G",26.82,3,8.34,3215
"SERRANAS SANDWICH X 112 G",26.79,11,7.24,3216
"MAROLIO MERMELADA DURAZNO X 454",26.72,4,7.36,3217
"ALWAYS BASIC C/ALAS X 8",26.68,5,9.58,3218
"VIDACOL VAINILLA 80 G",26.62,8,5.82,3219
"ESENCIAL SECADOR N? 26",26.54,4,9.14,3220
"FERRERO ROCHER ESTUCHE X 100 G",26.51,1,10.32,3221
"AXE MUSIC STAR X 113",26.5,2,5.4,3222
"ASPIRINETA X COMP 100 MG",26.49,88,10.65,3223
"CLIGHT ANANA X 18 SOBRES",26.49,1,4.56,3223
"ACAPULCO PALMITOS X 400 G",26.43,3,3.6,3225
"ORAL B CEP 7 BENEF + PASTA X70",26.29,1,6.08,3226
"PANTENE CR TRAT BRILLO X 300",26.29,1,8.79,3226
"JUGO BC LC S/A. NJA DULCE CAJA",26.21,1,10.37,3228
"SALSA GOLF BC 250GR",26.2,5,6.6,3229
"MIEL DE AVEJAS COLMENARES X 350 G",26.19,2,8.79,3230
"CIF CREMA C/LAV X 750G",26.16,2,10.34,3231
"DAYS VASO DOKI",26.12,2,11,3232
"HILERET SWEET X 100 SOBRES",26.09,2,9.89,3233
"SANCOR LECHE 0% A+BIOBALAN 1LT",26.07,3,5.16,3234
"MR MUSCULO REP CANAS MARINA",26.06305,2,8.58305,3235
"VIRULANA PA±O GRIS 50X60",26.04,4,12.04,3236
"ENSALADERA CUADRADA 23X23 CM",26.02697,1,13.12697,3237
"DAYS SENS.NOR.C/A 8U",26,4,8.68,3238
"JOVIFEL BUDINERA INGLE",26,1,11.42,3238
"ALGABO GEL FIJACION EXTRA FURTE 4 POTE 3",25.98,2,11.6,3240
"MAROLIO AJIES X 110G.",25.96,2,8.06,3241
"PROCENEX ANTIGRASA NARANJA DP X 500 ML",25.95,5,7.8,3242
"TANG JUGO MANZANA X 35 G",25.92,16,7.37,3243
"CABSHA REGALO BOCADITO X 18 X 10 G",25.89,1,8.84,3244
"JUGO CEPITA MULTIFRUTA 200ML.",25.87,13,8.58,3245
"VILLA RICA CHIMICHURRI  X 25 G",25.84593,8,13.20593,3246
"ALWAYS MEGA ACT.C/A 8UN",25.8,2,8.6,3247
"SACACORCHOS MANGO DE MADERA",25.8,2,13,3247
"COLGATE CEPILLO + PASTA",25.8,2,9.62,3247
"ALGABO GEL 3 EXT.BRILLO & CONTROL X 350",25.79851,2,14.27851,3250
"OKEBON GIROTONDO 150G.",25.76,8,8,3251
"DRIVE MATIC VIOLETA Y MENTA X 400",25.74,6,6.3,3252
"MATARAZZO CABELLO DE ANGEL X 500 G",25.72,3,7.39,3253
"LECHE CONDEN.NESTLE DESC.395G.",25.66,2,8.72,3254
"JABON LIMOL ENER.DEL AM.3X90G",25.63,4,8.71,3255
"ZUCOA BANANA X 180 G",25.61,6,7.49,3256
"ALGABO GEL EFECTO HUM. 150 G+TALCO PEDIC",25.6,2,12.14,3257
"ALGABO GEL EXT.BRILLO 150 G+TALCO PEDICO",25.6,2,12.14,3257
"DANONINO BEBIBLE FRU X 100 G.",25.52,8,6.72,3259
"DON RICARDO ACEITUNAS NEGRAS 1 X 1K",25.5,1,5.61,3260
"47 STREET BODY SPLASH CUTIE X 160 ML",25.49,1,8.53,3261
"47 STREET LOVE BODY SPLASH X 160",25.49,1,8.53,3261
"47 STREET BODY SPLASH FEELING X 160 ML",25.49,1,8.53,3261
"LOS HAROLDOS MERLOT X 750",25.49,1,7.92,3261
"BC MERM CIRUELA X 390 G",25.48,2,7.3,3265
"MR MUSCULO DEST GAT X 500",25.47,1,8.49,3266
"MAROLIO SALSA POTUGUESA 360 G",25.44,6,7.32,3267
"CORMILLOT MERM LIGHT FRU,X390",25.4,2,9.22,3268
"MELAMINA MANTEQUERA TRANP",25.39,1,7.36,3269
"BC CARAMELOS SURTIDOS X 70 G",25.38,3,10.65,3270
"LA VIRGINIA CAPPUCCINO INSTANTANEO X 125",25.38,2,7.9,3270
"MOGUL CEREAL 200GR",25.38,2,6.56,3270
"CHESTER ICE DEO X 250",25.35,1,10.53,3273
"VIRULANA TWIST PAÐO 37 X 40 CM",25.2386,4,12.2386,3274
"EQUALSWEET SUCRALOSA SOBRE X 50",25.2,2,7.78,3275
"PLASTIGAR PERCHAS PLASTICAS 4U",25.09,3,12.79,3276
"ENERGIZER AA X 4 UNID",25.08,1,10.68,3277
"TODOESPONJA REJILLA MUY ABSORBENTE",25.07,11,11.98,3278
"ALGABO BABY SHAMPOO EXTRA SUAVE  236 ML",25.06,2,11.74,3279
"LYSOFORM LIMP INOD DESINF X 500 CC",25.02,2,8.44,3280
"LA MONTEVIDEANA DDL Y CHOCOLATE  X 500G",25,1,7.76,3281
"KEKSY GELATINA NARANJA X 120 G",24.99256,9,8.97256,3282
"CONTENEDOR NUVA 3.10LTS",24.99,1,11.09,3283
"ZIPLOC POTES CUADRADO X 600 ML",24.99,1,7.67,3283
"BIO PACK X 4 FRUTILLA DESC",24.98,2,5,3285
"NAFTALINA X 150 G",24.98,2,12.52,3285
"DANICA MOSTAZA AMERIC.DP.220",24.95,5,7.4,3287
"MOLTO FIDEO CELENTANO 500G",24.95,5,6.8,3287
"CEP.DENT.COLGATE 360 SURROUND",24.9,1,8.31,3289
"DEPDEPIMANIA CERA NATURAL 200G",24.9,1,8.36,3289
"TRESEMME SH HIDRAT PROF.400ML.",24.9,1,7.73,3289
"GILLETTE MACH3 SENSITIVE MAQUINA",24.87,1,7.71,3292
"ALICANTE COND TUCOS Y GUIS X 25G",24.84,8,9.72,3293
"LA VIRGINIA TE C/MANZANA X 25 SAQ",24.76,4,7.68,3294
"AYUDIN LIMP.LIQ.BANO MAX 500ML",24.57,3,7.05,3295
"AQUARIUS NARANJA 1500 CC",24.48,3,7.82,3296
"POETT DESOD LAVANDA X 360 CC",24.46,3,9.64,3297
"LA SIERRITA ACEITUNAS X 330 G",24.43,4,8.15,3298
"EXTRALIMP PAÐO FIBRA VAJILLA RELUCIENTE",24.42997,6.99999,16.51998,3299
"POETT LAVANDA LIMP LIQ X 4LTS",24.29,1,6.91,3300
"POETT LIMP PRIMAVERA X 4LTS",24.29,1,6.91,3300
"BIANCHI CAB SAU X 750 CC",24.21,1,6.27,3302
"BIANCHI TORRONTES X 750CC",24.14,1,15.17,3303
"MAROLIO FIDEO AVE MARIA 500G",24.09,6,7.41,3304
"POETT LIMPIADOR LIQUIDO BAMBU X 900 CC",24.07,4,8.07,3305
"ESTILO SPA JABON LIQU.GLICERINA Y MIEL X",24.05,2,8.91,3306
"DISPITA BIBERON AGUJERITO",24,1,10.97,3307
"JOVIFEL ESPEJO 5.5""",24,1,10.57,3307
"POMADA COBRA NEGRO X 36 G",24,4,14.12,3307
"ROSAURA TARTAS HOJALDRE CHICAS",24,4,23.96,3307
"GINEBRA LLAVE X 950 CM3",23.99,1,7.5,3311
"VIVERE CONCENTRADO EXPLOSION FLOR X 300",23.98,2,9.46,3312
"GLADE SPA AERO X 360 CM",23.97,3,7.38,3313
"TAZA C/PLATO DEC.DOKI DY",23.97,1,11.98,3313
"GLADE TABACO AERO X 360 CM",23.97,3,7.38,3313
"CUTEX AZUL X 60",23.96,4,8.36,3316
"RIERA GRISINES INT.GLUTEN  160",23.96,4,6.12,3316
"CUTEX X 60",23.96,4,8.36,3316
"YESI COPA PLASTICO POSTRE",23.94,6,9.42,3319
"DULCYPAS BIZCOCHOS DULCE 200 G",23.92,8,8.24,3320
"JUGO P.BC LIMONADA 9.3G",23.84,16,8.32,3321
"GRANDALL X 250 CC",23.83,1,10.05,3322
"VINO LAVAQUE TINTO 700 ML",23.82,3,8.34,3323
"ILOLAY FLAN VAINILLA C/DULCE D LECHE X 1",23.8,6,6.76,3324
"SER JUGO PERA DULCE CAJA X 18 UNDS",23.74,1,0,3325
"BLEM INCOLORO FLORAL X 900 CC",23.7,1,8.86,3326
"NORTE BLANCA BOCA ANCHA 500 CM",23.7,3,5.7,3326
"KNORR CALDO SIN SAL VER X 22.5G",23.7,5,6.15,3326
"CRECER 2 . 250 CC",23.7,6,0.06,3326
"DULCOR HIGO  X 500 G",23.66,5,6.84,3330
"PINO COLBERT X 250 CC",23.64,1,7.9,3331
"VILLA RICA COMINO MOLIDO 50G",23.56,4,12.2,3332
"ESPUMADERA NYLON M/MADERA",23.54,2,13.76,3333
"AYUDIN COCINA DOBLE ACCION X 250 CC",23.5,6,8.68,3334
"CRIOLLITAS SIN SAL 169G.",23.5,5,5.81,3334
"M&K PERAS AL NATURAL 820G",23.49,3,6.09,3336
"MARILU REJILLA PARA COCINA COLOR",23.46982,3,12.39982,3337
"FORMIS FRUTILLA X 108 G",23.4,6,7.08,3338
"KLARO APRESTO AERO X 400 CM",23.38,2,6.68,3339
"MOGUL GELATINA UVA X 60 G",23.37997,7.99999,6.89999,3340
"LA ESPAÐOLA FRANGOLLO X 500 G",23.31,9,6.03,3341
"TABLETA X 1 UND",23.25,31,11.16,3342
"ARCOR RELLENOS MIEL X 150 G",23.22,3,7.56,3343
"BUTTER TOFFEES CHOCOLATE X 150 G",23.22,3,8.04,3343
"BUTTER CREAM X 150 G",23.22,3,7.56,3343
"INCA ARVEJAS X 350",23.2,8,6.72,3346
"MR MUSCULO GEL C/LAV X 500",23.18,2,7.22,3347
"COLGATE CEP 360 SENS PRO ALI X UNID",23.14,1,7.71,3348
"CREMINO CARAMELOS SURTIDOS X 150 G",23.05,3,7.72,3349
"ILOLAY BEBIBLE DESCREMADO FRUTILLA X 190",23.04,6,6,3350
"PROCENEX INVIERNO PATAGONICO X 900 ML",23.03594,5,7.13594,3351
"BAZAR VASO SORBITO C DIB BEN 1",22.99,1,10.09,3352
"CAPPUCCINO BESSONE INST.50G",22.97,2,8.45,3353
"MAZOLA ACEITE DE MAIZ X 412 CC",22.97,1.99999,7.25001,3353
"GRANIX CEREAL MIX. X 160 G",22.96,4,6.6,3355
"AMOR BAGLEY X 112 G",22.95,5,5.75,3356
"FIBRA ESPONJA OK X UNID",22.86237,29,10.10237,3357
"CURITAS X 10",22.85,9,12.14,3358
"POTE CLIC TAPA ROSCA",22.8,3,10.8,3359
"47 STREET AC CAPAS X 320",22.79,1,9.5,3360
"ORAL B CRE.DENT. SENS-WHIT 60",22.79,1,5.24,3360
"OKEBON GALL VAINILLA 150G",22.75,7,7.21,3362
"PROCENEX ANTIGRASA NARANJA X 900 ML",22.73996,5.99999,8.69998,3363
"KNORR SABOR EN CUBOS C/QUESOS X 4 UNID",22.73,4,7.25,3364
"KEKSY HELADO DULCE DE LECHE X 100 G",22.71152,8,7.03152,3365
"FIDEO RIVOLI MACARRONCITO X 500G",22.68,6,8.1,3366
"KEVIN BLACK BY CANNON X 150 ML",22.68,1,7.56,3366
"KEKSY GELATINA LIGHT FRAMBUESA X 25 G",22.68,8,8.44,3366
"YESI VERTEDOR PLASTICO X 500 G",22.68,2,10.88,3366
"ALICANTE AJI TRITURADO X 50 G",22.66,6,8.98,3370
"SER JUGO  NJA MAND.9.7G.",22.62458,14,7.36458,3371
"DAYS KOTEX NOCT EXTSUA 8 U",22.58,2,9.44,3372
"QUICK SOPA LIGHT ZAPALLO X 5 X 10 G",22.58,3,-14.66,3372
"ROYAL FLAN VAINILLA CREMA CHANTILLY 90 G",22.56456,4,7.04456,3374
"GLADE PASTILLA C/RED X 25G",22.56,5.00001,7.96,3375
"VICK VITAPYRENA",22.5,5,10,3376
"COMBO SEDAL COLOR VITAL X 3",22.49,1,8.73,3377
"RAID MAX X 400 CC",22.49,1,7.42,3377
"DOBLE V WHISKY X 1 L",22.48,1,7.49,3379
"ESTILO SPA JABON LIQUIDO CREMOSO X 300 M",22.48,2,7.34,3379
"MOGUL TIBURONCITOS X 30 G",22.46,11,8.16,3381
"WOOLITE ROPA FINA X 120",22.41,6,7.83,3382
"DULCOR MERMELADA HIGO X 454 G",22.4,3,6.86,3383
"EXTRALIMP TRIPLE ESTROPAJO DE ACERO XG",22.36,4,13.8,3384
"PRINGLES XTREME X 139 G",22.34,1,7.59,3385
"MENTA - CHOCOLATE X 150 G",22.31574,3,6.65574,3386
"BABELITO MORDILLO  ERGONOMICO",22.29,1,6.92,3387
"PALILLERO DE MESA IDEAL",22.25001,8,9.21002,3388
"ZUKO CERO JUGO P.MANGO 9G",22.24814,30,9.64814,3389
"SWIFT PATE DE FOIE  X 90 G",22.24,8,6,3390
"LISTERINE CITRUS X 250 ML",22.22,1,9.22,3391
"LUCCHETTI DEDALITOS X 500",22.12193,3,5.71193,3392
"JOVIFEL PALA DE PIE C/ MANGO",22,1,9.54,3393
"LA VIRGINIA KALMA CAFE DESCAF. X 36 SOBR",22,1,6.84,3393
"JOVIFEL PINZAS MANITO",22,1,10.08,3393
"ALGABO COMBO SHAMPOO/ACOND + QUITAESM",21.99,1,8.68,3396
"BAZAR TAZA C PLATO DAYS",21.99,1,10,3396
"CANTIMPLORA TERMO INF.S/CORREA",21.99,1,10.09,3396
"JUEGO DE PLATITO +TAZA BEN 10",21.99,1,10,3396
"ESTOLO SPA CERA DEPILATORIA NAT. REPUEST",21.99,1,8.21,3396
"ESTILO SPA CERA DEPILATORIA VEGETAL REP.",21.99,1,8.21,3396
"REXONA MEN ULTRA GUAR X 113 ML",21.98,2,1.8,3402
"ARCOR LENTEJAS X320GR.",21.96,4,6.28,3403
"CRIOLLITAS TOSTADAS SALV. 200G",21.96,4,6.28,3403
"HINDS HIDRAT.EXTRE.C/MIEL 250M",21.9,1,7.73,3405
"ROMANCE YERBA ESPECIAL X 1 K",21.9,1,6.42,3405
"HINDS HIDRATACION E. ALM.250ML",21.9,1,7.73,3405
"DOS ANCLAS AZUCAR IMP X 250G",21.87,3,7.35,3408
"FARGO GALLETA AGUA SIN SAL X 175 G",21.85,5,5.81,3409
"MANON 172G.",21.84,3,5.76,3410
"DISPITA SONAJERO MARIPOSA",21.8,1,9.51,3411
"MAROLIO CHAMPIÑONES ENTE.280G",21.78,2,7.26,3412
"MAROLIO MORRONES X 220 G",21.78,1,7.26,3412
"DULCOR DURAZNO X 454G",21.75,3,6.21,3414
"LINA NOCTURNA C/A 8 U",21.67,3,7.84,3415
"ARCOR SALSA PORTU. 340G",21.65,4,6.49,3416
"DAYS MAXI JARRO PRINCESAS DEL MAR",21.58,1,11.29,3417
"MACUCAS CHOCOLATE NUEVA 123 G",21.58,5,6.19,3417
"ALICANTE ESENCIA DE VAINILLA X 28 CM3",21.54,6,8.4,3419
"DUFOUR AFTER SHAVE X 60 ML",21.5,1,3.56,3420
"47 STREET CREM PEINAR CAPAS X 300",21.49,1,7.27,3421
"TORTERA Nº 24",21.49,1,11.11,3421
"KOSIUKO DEO TITANIUM X 168 ML",21.49,1,7.17,3421
"47 STREET CREM PEINAR RULOS X 300",21.49,1,7.27,3421
"HISOPOS SNIFF X 100 UNID",21.45,5,6.2,3425
"ESPADOL DESIN.LIQ MENTHOL 1.8L",21.39,1,6.66,3426
"ALWAYS ULTRAFINA C/ALAS X 8",21.38001,2,7.74002,3427
"MENTHO PLUS MENTOL",21.35,9,8.57,3428
"MR MUSCULO LIMPIA HORNO X 400 CC",21.31,1,8.87,3429
"VERITAS DEO FAMILIAR ESENCIAL X 400CC",21.31,1,8.85,3429
"CRECER 1. 250 CC",21.28,4,4.24,3431
"QUICK ZAPALLO X 5 X 15 G",21.17,3,-14.15,3432
"JUGO P.BC PERA 7.8G",21.07,14,7.49,3433
"LANA DE ACERO ECO X 50 G",21.05538,14,6.35538,3434
"ILOLAY PORT SALUT LIGHT KG",21.04225,0.365,7.8913,3435
"CHOCOLATE COFLER ROCKLETS 55G",21,3,7.2,3436
"ESTANCIA DE MENDOZA CABERNET SAU X 750 C",21,1,6,3436
"GRANJA IRIS MORTADELA  X K",20.9937,0.465,8.29455,3438
"ALGABO SALLY MAGIC STAR COLONIA X 50 ML",20.99,1,11.6,3439
"CALIFORNIA VINO PATERO X 750 CC",20.98,2,6.48,3440
"LICOR TRES PLUMAS CH.ME.700ML.",20.98,1,5.99,3440
"TRES PLUMAS BLUE CURACAO X 700 C",20.98,1,5.99,3440
"TRES PLUMAS MENTA X 700 ML",20.98,1,5.99,3440
"QUERICO FIDEO DIETETICO C/ GLUT Y SALV X",20.97,3,5.4,3444
